x,y
1640044800000.00,46910.13
1640131200000.00,48934.57
1640217600000.00,48628.35
1640304000000.00,50785.69
1640390400000.00,50814.92
1640476800000.00,50470.89
1640563200000.00,50801.11
1640649600000.00,50692.3
1640736000000.00,47601.26
1640822400000.00,46408.87
1640908800000.00,47132.96
1640995200000.00,46249.56
1641081600000.00,47763.33
1641168000000.00,47327.87
1641254400000.00,46441.99
1641340800000.00,45862.98
1641427200000.00,43436.17
1641513600000.00,43120.63
1641600000000.00,41528.04
1641686400000.00,41690.93
1641772800000.00,41864.44
1641859200000.00,41849
1641945600000.00,42723.37
1642032000000.00,43926
1642118400000.00,42546.44
1642204800000.00,43099.37
1642291200000.00,43146.53
1642377600000.00,43102.44
1642464000000.00,42248.35
1642550400000.00,42381.48
1642636800000.00,41707.85
1642723200000.00,40684.42
1642809600000.00,36480.85
1642896000000.00,35071.43
1642982400000.00,36280.82
1643068800000.00,36678.82
1643155200000.00,36948.81
1643241600000.00,36823.5
1643328000000.00,37146.85
1643414400000.00,37770.15
1643500800000.00,38186.49
1643587200000.00,37918.62
1643673600000.00,38521.79
1643760000000.00,38739.74
1643846400000.00,36912.68
1643932800000.00,37092.4
1644019200000.00,41584.19
1644105600000.00,41435.43
1644192000000.00,42450.98
1644278400000.00,43834.02
1644364800000.00,44133.28
1644451200000.00,44397.3
1644537600000.00,43531.11
1644624000000.00,42401.27
1644710400000.00,42245.56
1644796800000.00,42104.89
1644883200000.00,42580.94
1644969600000.00,44536.2
1645056000000.00,43948.81
1645142400000.00,40565.69
1645228800000.00,40014.55
1645315200000.00,40115.05
1645401600000.00,38382.32
1645488000000.00,37031.08
1645574400000.00,38262.17
1645660800000.00,37291.48
1645747200000.00,38344.78
1645833600000.00,39222.6
1645920000000.00,39103.91
1646006400000.00,37704.56
1646092800000.00,43226.36
1646179200000.00,44418.83
1646265600000.00,43934.85
1646352000000.00,42464.4
1646438400000.00,39141.25
1646524800000.00,39399.58
1646611200000.00,38407.69
1646697600000.00,38032.5
1646784000000.00,38753.1
1646870400000.00,41956.53
1646956800000.00,39437.89
1647043200000.00,38741.04
1647129600000.00,38809.18
1647216000000.00,37820.39
1647302400000.00,39680.6
1647388800000.00,39320.82
1647475200000.00,41133.08
1647561600000.00,40946.78
1647648000000.00,41795.77
1647734400000.00,42222.32
1647820800000.00,41250.83
1647907200000.00,41071.41
1647993600000.00,42372.67
1648080000000.00,42905.06
1648166400000.00,44004.47
1648252800000.00,44334.33
1648339200000.00,44542.39
1648425600000.00,46858.53
1648512000000.00,47115.93
1648598400000.00,47448.01
1648684800000.00,47064.16
1648771200000.00,45539.22
1648857600000.00,46282.56
1648944000000.00,45825.36
1649030400000.00,46425.52
1649116800000.00,46611.26
1649203200000.00,45508.16
1649289600000.00,43190.18
1649376000000.00,43464.32
1649462400000.00,42278.94
1649548800000.00,42787.69
1649635200000.00,42144.23
1649721600000.00,39488.62
1649808000000.00,40102.2
1649894400000.00,41148.06
1649980800000.00,39939.9
1650067200000.00,40566.2
1650153600000.00,40388.78
1650240000000.00,39711.45
1650326400000.00,40805.72
1650412800000.00,41507.3
1650499200000.00,41375.79
1650585600000.00,40514.01
1650672000000.00,39727.65
1650758400000.00,39429.01
1650844800000.00,39465.57
1650931200000.00,40472.7
1651017600000.00,38114.94
1651104000000.00,39249.28
1651190400000.00,39770.04
1651276800000.00,38596.28
1651363200000.00,37661.19
1651449600000.00,38475.48
1651536000000.00,38510.65
1651622400000.00,37727.19
1651708800000.00,39674.89
1651795200000.00,36549.9
1651881600000.00,36013.03
1651968000000.00,35471.42
1652054400000.00,34082.21
1652140800000.00,30175.71
1652227200000.00,31003.93
1652313600000.00,28907.15
1652400000000.00,28931.14
1652486400000.00,29234.06
1652572800000.00,30074.61
1652659200000.00,31277.43
1652745600000.00,29834.09
1652832000000.00,30406.69
1652918400000.00,28680.97
1653004800000.00,30289.87
1653091200000.00,29159.5
1653177600000.00,29409.92
1653264000000.00,30278.94
1653350400000.00,29074.33
1653436800000.00,29634.57
1653523200000.00,29518.59
1653609600000.00,29193.92
1653696000000.00,28578.89
